"is"	"becomes"
"663"	2734	2
"664"	2735	2
"665"	2737	2
"666"	2741	2
"667"	2742	2
"668"	2743	2
"669"	2744	2
"670"	2745	2
"671"	2747	2
"672"	2751	2
"673"	2752	2
"674"	2753	2
"675"	2754	2
"676"	2755	2
"677"	2757	2
"678"	2771	2
"679"	2772	2
"680"	2773	2
"681"	2774	2
"682"	2775	2
"683"	2777	7
"684"	3111	1
"685"	3112	2
"686"	3113	3
"687"	3114	3
"688"	3115	3
"689"	3117	3
"690"	3121	2
"691"	3122	2
"692"	3123	2
"693"	3124	2
"694"	3125	2
"695"	3127	2
"696"	3131	3
"697"	3132	2
"698"	3133	3
"699"	3134	3
"700"	3135	3
"701"	3137	3
"702"	3141	3
"703"	3142	2
"704"	3143	3
"705"	3144	3
"706"	3145	3
"707"	3147	3
"708"	3151	3
"709"	3152	2
"710"	3153	3
"711"	3154	3
"712"	3155	3
"713"	3157	3
"714"	3171	3
"715"	3172	2
"716"	3173	3
"717"	3174	3
"718"	3175	3
"719"	3177	3
"720"	3211	2
"721"	3212	2
"722"	3213	2
"723"	3214	2
"724"	3215	2
"725"	3217	2
"726"	3221	2
"727"	3222	2
"728"	3223	2
"729"	3224	2
"730"	3225	2
"731"	3227	2
"732"	3231	2
"733"	3232	2
"734"	3233	3
"735"	3234	2
"736"	3235	2
"737"	3237	2
"738"	3241	2
"739"	3242	2
"740"	3243	2
"741"	3244	2
"742"	3245	2
"743"	3247	2
"744"	3251	2
"745"	3252	2
"746"	3253	2
"747"	3254	2
"748"	3255	2
"749"	3257	2
"750"	3271	2
"751"	3272	2
"752"	3273	2
"753"	3274	2
"754"	3275	2
"755"	3277	2
"756"	3311	3
"757"	3312	2
"758"	3313	3
"759"	3314	3
"760"	3315	3
"761"	3317	3
"762"	3321	2
"763"	3322	2
"764"	3323	3
"765"	3324	2
"766"	3325	2
"767"	3327	2
"768"	3331	3
"769"	3332	3
"770"	3333	3
"771"	3334	3
"772"	3335	3
"773"	3337	3
"774"	3341	3
"775"	3342	2
"776"	3343	3
"777"	3344	3
"778"	3345	3
"779"	3347	3
"780"	3351	3
"781"	3352	2
"782"	3353	3
"783"	3354	3
"784"	3355	3
"785"	3357	3
